2019-11-20 11:19:41,990 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.datasource.DataSourceTest], using SpringBootContextLoader
2019-11-20 11:20:45,481 [Thread-2] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-20 11:20:45,482 [Thread-2] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:20:45,484 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2003 - {dataSource-1} closing ...
2019-11-20 11:20:45,490 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2075 - {dataSource-1} closed
2019-11-20 11:21:31,067 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.mapepr.SimpleMapperTest], using SpringBootContextLoader
2019-11-20 11:21:31,072 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [learn.flow.dao.mapepr.SimpleMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-20 11:21:31,073 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [learn.flow.dao.mapepr.SimpleMapperTest]: SimpleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-20 11:21:31,305 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:235 - Found @SpringBootConfiguration learn.flow.dao.FlowDaoApplication for test class learn.flow.dao.mapepr.SimpleMapperTest
2019-11-20 11:21:31,590 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-20 11:21:31,650 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@aba625, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@97e93f1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5a5a729f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4b520ea8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@16150369, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6b09fb41, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@624ea235, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3932c79a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@782859e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23f5b5dc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@34bde49d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1b1cfb87]
2019-11-20 11:21:32,191 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] StartupInfoLogger.java:50 - Starting SimpleMapperTest on C07450 with PID 4260 (started by lxiang17 in D:\PROJECT\flow-all\flow-dao)
2019-11-20 11:21:32,198 [main] INFO  [learn.flow.dao.mapepr.SimpleMapperTest] SpringApplication.java:648 - No active profile set, falling back to default profiles: default
2019-11-20 11:21:33,124 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[learn.flow.dao.repository]' package. Please check your configuration.
2019-11-20 11:21:33,274 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-20 11:21:33,291 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:182 - Finished Spring Data repository scanning in 10ms. Found 0 repository interfaces.
